menuItemId	menuId	productCode	price
1	1	b	8
2	1	bf	6
3	1	bs	7
4	1	c1	3
5	1	c2	4
6	1	c3	5
7	1	cx	0.5
8	1	wc	6
9	1	d1	3
10	1	d2	4
11	1	d3	5
12	1	dx	2
13	1	dk	0.75
14	1	fl	6
15	1	ms	6
16	1	mt	5
17	1	pt	6
18	1	s1	5
19	1	s2	6
20	1	sx	0.5
21	1	sl1	3
22	1	sl2	4
23	1	sl3	5
24	1	slx	0.25
25	1	ss	7
26	1	ts	7
27	2	bf	4
28	2	c1	2
29	2	c2	3
30	2	c3	4
31	2	cx	0.25
32	2	d1	2
33	2	d2	3
34	2	d3	4
35	2	dx	0.25
36	2	dk	1
37	2	fl	4
38	2	ms	4
39	2	s1	4
40	2	s2	5
41	2	sx	0.5
42	2	sl1	2
43	2	sl2	3
44	2	sl3	4
45	2	slx	0.25
46	3	bf	8
47	3	c1	3
48	3	c2	4
49	3	c3	5
50	3	cx	0.5
51	3	d1	3
52	3	d2	4
53	3	d3	5
54	3	dx	0.5
55	3	dk	2
56	3	sl1	3
57	3	sl2	4
58	3	sl3	5
59	3	slx	0.5
60	4	s1	6
61	4	s2	7
62	4	sx	1
