ticketId	eventId	ticketTime	soldBy	numProducts	totalPrice
1	1	2017-01-19 13:00:00	21	3	0.0
2	1	2017-01-19 13:26:00	21	1	0.0
3	1	2017-01-19 13:22:19	4	1	0.0
4	1	2017-01-19 13:25:02	21	2	0.0
5	1	2017-01-19 13:38:25	21	1	0.0
6	1	2017-01-19 13:29:31	21	2	0.0
7	1	2017-01-19 13:47:25	21	1	0.0
8	1	2017-01-19 13:50:14	4	1	0.0
9	1	2017-01-19 14:14:09	21	2	0.0
10	1	2017-01-19 14:09:21	21	2	0.0
11	1	2017-01-19 14:11:20	4	1	0.0
12	1	2017-01-19 14:20:38	4	2	0.0
13	1	2017-01-19 14:19:38	21	1	0.0
14	1	2017-01-19 14:14:58	4	1	0.0
15	1	2017-01-19 14:37:51	21	2	0.0
16	1	2017-01-19 14:41:16	4	2	0.0
17	1	2017-01-19 14:57:17	21	2	0.0
18	1	2017-01-19 14:59:01	21	3	0.0
19	1	2017-01-19 15:15:41	21	2	0.0
20	2	2017-02-02 15:00:00	3	2	0.0
21	2	2017-02-02 15:19:55	3	3	0.0
22	2	2017-02-02 15:17:18	3	2	0.0
23	2	2017-02-02 15:29:37	3	1	0.0
24	2	2017-02-02 15:28:00	3	2	0.0
25	2	2017-02-02 15:50:42	3	2	0.0
26	2	2017-02-02 15:48:51	3	2	0.0
27	2	2017-02-02 16:09:51	21	2	0.0
28	2	2017-02-02 16:22:33	3	2	0.0
29	2	2017-02-02 16:19:19	3	3	0.0
30	2	2017-02-02 16:18:35	3	1	0.0
31	3	2017-02-23 13:00:00	7	2	0.0
32	3	2017-02-23 13:14:02	7	2	0.0
33	3	2017-02-23 13:13:39	7	2	0.0
34	3	2017-02-23 13:24:13	21	3	0.0
35	3	2017-02-23 13:00:54	21	3	0.0
37	3	2017-02-23 13:05:57	7	1	0.0
38	3	2017-02-23 13:12:40	21	1	0.0
41	3	2017-02-23 13:01:29	21	3	0.0
42	3	2017-02-23 13:04:50	21	2	0.0
43	3	2017-02-23 13:06:42	7	2	0.0
44	3	2017-02-23 13:09:36	7	2	0.0
45	3	2017-02-23 13:15:08	7	2	0.0
46	3	2017-02-23 13:22:52	7	3	0.0
47	3	2017-02-23 13:41:59	7	2	0.0
48	3	2017-02-23 13:49:34	7	2	0.0
49	3	2017-02-23 14:08:29	7	2	0.0
50	3	2017-02-23 14:01:24	21	1	0.0
51	3	2017-02-23 14:03:55	7	2	0.0
52	3	2017-02-23 14:25:05	7	2	0.0
53	3	2017-02-23 14:32:32	7	3	0.0
54	3	2017-02-23 14:46:10	21	2	0.0
55	3	2017-02-23 14:51:08	7	2	0.0
56	3	2017-02-23 15:02:22	7	1	0.0
57	3	2017-02-23 15:04:57	21	3	0.0
58	3	2017-02-23 14:59:18	21	2	0.0
59	3	2017-02-23 15:00:56	7	1	0.0
60	3	2017-02-23 15:09:55	21	5	0.0
61	3	2017-02-23 15:19:28	7	1	0.0
62	4	2017-03-09 15:00:00	21	3	0.0
63	4	2017-03-09 15:07:55	21	2	0.0
64	4	2017-03-09 15:16:13	21	1	0.0
65	4	2017-03-09 15:25:31	21	6	0.0
66	4	2017-03-09 15:39:07	9	4	0.0
67	4	2017-03-09 15:39:55	21	2	0.0
68	4	2017-03-09 15:34:24	21	2	0.0
69	4	2017-03-09 15:43:34	21	2	0.0
70	4	2017-03-09 15:38:54	21	4	0.0
71	4	2017-03-09 15:53:34	21	2	0.0
72	4	2017-03-09 16:05:59	21	2	0.0
73	4	2017-03-09 16:19:32	21	2	0.0
74	5	2016-10-31 19:00:00	21	2	0.0
75	5	2016-10-31 19:05:14	2	4	0.0
77	5	2016-10-31 19:12:46	2	6	0.0
78	5	2016-10-31 19:11:35	21	1	0.0
79	5	2016-10-31 19:14:59	2	2	0.0
80	5	2016-10-31 19:26:10	21	3	0.0
81	5	2016-10-31 19:29:45	2	4	0.0
82	5	2016-10-31 19:15:25	2	2	0.0
83	5	2016-10-31 19:21:01	2	2	0.0
84	5	2016-10-31 19:17:21	2	7	0.0
85	5	2016-10-31 19:22:37	2	4	0.0
86	5	2016-10-31 19:23:38	21	4	0.0
87	5	2016-10-31 19:27:02	21	6	0.0
88	5	2016-10-31 19:21:33	2	3	0.0
89	5	2016-10-31 19:37:26	2	1	0.0
90	5	2016-10-31 19:24:27	2	5	0.0
91	5	2016-10-31 19:28:14	2	1	0.0
92	5	2016-10-31 19:28:47	2	2	0.0
93	5	2016-10-31 19:26:49	2	2	0.0
94	5	2016-10-31 19:17:01	2	2	0.0
95	5	2016-10-31 19:30:04	2	3	0.0
96	5	2016-10-31 19:34:00	21	2	0.0
97	5	2016-10-31 19:32:02	2	4	0.0
98	5	2016-10-31 19:35:14	21	5	0.0
99	5	2016-10-31 19:42:20	2	2	0.0
100	5	2016-10-31 19:36:57	2	3	0.0
101	5	2016-10-31 19:38:44	2	3	0.0
102	5	2016-10-31 19:42:01	2	5	0.0
103	5	2016-10-31 19:41:22	2	4	0.0
104	5	2016-10-31 19:28:49	2	4	0.0
105	5	2016-10-31 19:24:30	21	2	0.0
106	5	2016-10-31 19:11:51	2	4	0.0
107	5	2016-10-31 19:13:33	2	2	0.0
108	5	2016-10-31 19:19:24	21	5	0.0
109	5	2016-10-31 19:30:29	2	1	0.0
110	5	2016-10-31 19:46:06	2	3	0.0
111	5	2016-10-31 19:49:14	2	4	0.0
112	5	2016-10-31 19:58:27	2	5	0.0
113	5	2016-10-31 20:12:19	2	2	0.0
114	5	2016-10-31 20:11:58	2	2	0.0
115	5	2016-10-31 20:20:25	21	2	0.0
116	5	2016-10-31 20:39:40	2	3	0.0
117	5	2016-10-31 20:43:09	21	3	0.0
118	5	2016-10-31 20:25:54	21	3	0.0
119	5	2016-10-31 20:45:47	21	2	0.0
120	5	2016-10-31 20:50:14	21	3	0.0
121	5	2016-10-31 20:48:46	2	1	0.0
122	5	2016-10-31 20:46:11	21	2	0.0
123	5	2016-10-31 20:35:12	2	2	0.0
124	5	2016-10-31 20:56:58	21	6	0.0
125	5	2016-10-31 20:52:02	2	4	0.0
126	5	2016-10-31 20:58:39	2	1	0.0
127	5	2016-10-31 20:53:15	2	2	0.0
128	5	2016-10-31 20:48:47	2	5	0.0
129	5	2016-10-31 21:01:22	21	1	0.0
130	5	2016-10-31 21:06:14	2	5	0.0
131	5	2016-10-31 20:52:07	21	1	0.0
132	5	2016-10-31 20:58:34	2	3	0.0
133	5	2016-10-31 21:10:33	2	2	0.0
134	5	2016-10-31 21:16:39	2	3	0.0
135	5	2016-10-31 21:18:14	2	5	0.0
136	5	2016-10-31 21:22:11	2	3	0.0
137	5	2016-10-31 21:08:54	2	4	0.0
138	5	2016-10-31 21:04:21	2	7	0.0
139	5	2016-10-31 21:16:07	2	5	0.0
140	5	2016-10-31 21:13:39	21	1	0.0
141	5	2016-10-31 21:06:03	2	9	0.0
142	5	2016-10-31 21:18:09	2	3	0.0
143	5	2016-10-31 21:06:02	21	5	0.0
144	5	2016-10-31 21:28:06	2	2	0.0
145	5	2016-10-31 21:22:18	2	7	0.0
146	5	2016-10-31 21:41:55	2	2	0.0
147	5	2016-10-31 21:48:24	2	4	0.0
148	5	2016-10-31 22:07:38	2	3	0.0
149	5	2016-10-31 22:26:03	2	2	0.0
150	5	2016-10-31 22:34:07	2	1	0.0
151	5	2016-10-31 22:29:03	21	5	0.0
152	5	2016-10-31 22:39:38	21	4	0.0
153	5	2016-10-31 22:35:22	21	2	0.0
154	5	2016-10-31 22:20:27	21	2	0.0
155	5	2016-10-31 22:32:15	2	3	0.0
156	5	2016-10-31 22:20:42	2	4	0.0
157	5	2016-10-31 22:22:14	2	4	0.0
158	5	2016-10-31 22:15:44	2	6	0.0
159	5	2016-10-31 22:11:09	2	3	0.0
160	5	2016-10-31 21:49:22	2	2	0.0
161	5	2016-10-31 21:48:41	21	2	0.0
162	5	2016-10-31 21:47:49	2	4	0.0
163	5	2016-10-31 22:00:34	21	2	0.0
164	5	2016-10-31 21:54:05	2	2	0.0
165	5	2016-10-31 22:19:23	2	6	0.0
166	5	2016-10-31 22:24:35	21	1	0.0
167	5	2016-10-31 22:44:47	2	1	0.0
168	5	2016-10-31 22:44:57	2	3	0.0
169	5	2016-10-31 23:02:28	2	4	0.0
170	5	2016-10-31 23:07:12	2	4	0.0
171	5	2016-10-31 23:32:25	2	2	0.0
172	5	2016-10-31 23:35:41	2	3	0.0
173	5	2016-10-31 23:52:23	21	4	0.0
174	5	2016-10-31 23:57:55	21	3	0.0
175	5	2016-11-01 00:00:36	2	1	0.0
176	5	2016-11-01 00:03:12	2	2	0.0
177	5	2016-10-31 23:57:37	2	4	0.0
178	5	2016-10-31 23:42:17	2	4	0.0
179	5	2016-10-31 23:44:25	2	5	0.0
180	5	2016-11-01 00:00:43	2	6	0.0
181	5	2016-11-01 00:04:10	2	4	0.0
182	5	2016-11-01 00:06:59	2	5	0.0
183	5	2016-11-01 00:10:51	2	2	0.0
184	5	2016-11-01 00:16:45	21	2	0.0
185	5	2016-11-01 00:28:34	2	2	0.0
