itemSoldId	productSoldId	compId	qty	unitId
1	1	21	1	1
2	1	38	1	3
3	1	40	1	3
4	1	51	1	3
5	1	11	1	3
6	2	56	20	1
7	2	38	1	3
8	2	46	1	3
9	2	47	1	3
10	2	42	1	3
11	3	37	1	3
12	3	54	1	3
13	4	38	1	3
14	4	40	1	3
15	4	51	1	3
16	5	38	1	3
17	5	40	1	3
18	5	51	1	3
19	6	56	18	1
20	6	41	1	3
21	6	46	1	3
22	6	43	1	3
23	7	56	18	1
24	7	41	1	3
25	7	46	1	3
26	7	43	1	3
27	9	37	1	3
28	9	54	1	3
29	10	38	1	3
30	10	40	1	3
31	10	50	1	3
32	11	56	32	1
33	11	38	1	3
34	11	48	1	3
35	11	49	1	3
36	11	43	1	3
37	12	56	32	1
38	12	38	1	3
39	12	48	1	3
40	12	49	1	3
41	12	43	1	3
42	13	37	1	3
43	13	54	1	3
44	14	21	1	1
45	14	38	1	3
46	14	40	1	3
47	14	51	1	3
48	14	11	1	3
49	15	38	1	3
50	15	41	1	3
51	15	46	1	3
52	15	47	1	3
53	15	43	1	3
54	15	64	0.75	4
55	16	38	1	3
56	16	40	1	3
57	16	52	1	3
58	17	21	1	1
59	17	38	1	3
60	17	40	1	3
61	17	51	1	3
62	17	11	1	3
63	18	56	12	1
64	18	38	1	3
65	18	44	1	3
66	18	45	1	3
67	18	42	1	3
68	19	38	1	3
69	19	40	1	3
70	19	52	1	3
71	20	37	1	3
72	20	54	1	3
73	21	38	1	3
74	21	40	1	3
75	21	52	1	3
76	22	56	18	1
77	22	41	1	3
78	22	46	1	3
79	22	43	1	3
80	23	38	1	3
81	23	40	1	3
82	23	50	1	3
83	24	56	18	1
84	24	41	1	3
85	24	46	1	3
86	24	43	1	3
87	25	56	32	1
88	25	38	1	3
89	25	48	1	3
90	25	49	1	3
91	25	43	1	3
92	26	37	1	3
93	26	54	1	3
94	27	21	1	1
95	27	38	1	3
96	27	40	1	3
97	27	51	1	3
98	27	11	1	3
99	28	38	1	3
100	28	40	1	3
101	28	51	1	3
102	30	56	20	1
103	30	38	1	3
104	30	46	1	3
105	30	47	1	3
106	30	42	1	3
107	31	38	1	3
108	31	41	1	3
109	31	46	1	3
110	31	47	1	3
111	31	43	1	3
112	31	64	0.75	4
113	32	37	1	3
114	32	53	1	3
115	33	37	1	3
116	33	54	1	3
117	34	21	1	1
118	34	38	1	3
119	34	40	1	3
120	34	51	1	3
121	34	11	1	3
122	35	56	20	1
123	35	38	1	3
124	35	46	1	3
125	35	47	1	3
126	35	42	1	3
127	36	21	1.5	1
128	36	38	1	3
129	36	40	1	3
130	36	52	1	3
131	36	11	1	3
132	37	41	1	3
133	37	46	1	3
134	37	43	1	3
135	38	41	1	3
136	38	46	1	3
137	38	43	1	3
138	39	37	1	3
139	39	54	1	3
140	40	38	1	3
141	40	40	1	3
142	40	51	1	3
143	41	37	1	3
144	41	54	1	3
145	42	21	1.5	1
146	42	38	1	3
147	42	40	1	3
148	42	52	1	3
149	42	11	1	3
150	43	56	32	1
151	43	38	1	3
152	43	48	1	3
153	43	49	1	3
154	43	43	1	3
155	45	56	12	1
156	45	38	1	3
157	45	44	1	3
158	45	45	1	3
159	45	42	1	3
160	46	38	1	3
161	46	40	1	3
162	46	50	1	3
163	47	56	18	1
164	47	41	1	3
165	47	46	1	3
166	47	43	1	3
167	48	38	1	3
168	48	40	1	3
169	48	52	1	3
170	49	56	18	1
171	49	41	1	3
172	49	46	1	3
173	49	43	1	3
174	50	37	1	3
